data,id,amount,txType,dateTime,tags
Hsrnvqrxkx,0,71433,-1,03/09/2026 01:34 AM,shopping
Goajkmokwj,1,87640,1,04/10/2027 05:27 PM,shopping
Stownxqoew,2,65459,-1,07/19/2024 07:10 PM,salary
Gdbirwtezi,3,68964,1,08/02/2024 09:36 AM,salary
Ubciioylti,4,5037,-1,02/08/2022 07:23 AM,salary
Dxucyhbozt,5,84691,-1,05/26/2022 10:55 AM,salary
Mwuhaawkwy,6,89894,1,08/25/2028 12:13 PM,shopping
Kzfajvjmht,7,85014,1,05/21/2026 12:39 PM,shopping
Eqavxoneuf,8,49526,-1,07/24/2025 11:01 PM,salary
Sjpqosipzl,9,42856,-1,09/03/2025 08:55 PM,bill
Zwteqsodco,10,46952,1,08/13/2029 10:44 AM,salary
Eagmkemhxs,11,22656,-1,10/27/2027 10:24 PM,shopping
Wtjxneqluv,12,68033,1,06/10/2029 09:03 PM,salary
Nbyyhqaorb,13,18011,1,09/01/2022 05:16 AM,salary
Gyoqaifqrx,14,82511,1,02/14/2027 01:39 AM,shopping
Jgjvessprt,15,31917,1,06/05/2021 06:35 AM,bill
Khnklesmsj,16,93670,1,04/24/2024 12:44 PM,shopping
Xkedynaxba,17,31406,1,09/25/2024 08:19 AM,shopping
Lgdffxdfmf,18,5325,1,10/22/2024 07:18 PM,bill
Frqzciyalh,19,66811,-1,01/30/2024 03:30 AM,salary
Ogclzedkmi,20,11634,1,04/30/2024 03:39 PM,salary
Rogpbmcpls,21,45659,-1,11/20/2022 01:45 PM,shopping
Gvbhoqywal,22,90834,-1,10/13/2028 12:53 PM,salary
Xnmvirpjhz,23,52673,1,04/03/2028 10:55 PM,salary
Zflqmijnxz,24,14174,-1,10/21/2027 06:42 AM,salary
Zjaecxgels,25,12601,1,06/03/2022 04:02 AM,salary
Zcazpicbrz,26,83353,1,11/25/2020 11:21 PM,bill
Nfoufouzky,27,88705,-1,12/11/2029 11:44 AM,bill
Uerdjoygle,28,31487,-1,09/13/2022 04:03 PM,bill
Tztdswyhfv,29,43322,-1,08/27/2020 10:31 AM,shopping
Qjpfqsamgg,30,2923,-1,07/30/2029 09:24 PM,shopping
Btckxtddzw,31,49350,1,11/20/2023 03:13 PM,shopping
Dqjlqzrypz,32,49790,1,03/28/2025 08:42 PM,bill
Ndaxdddmpl,33,58706,-1,03/06/2025 01:25 AM,shopping
Pnwcsuhapn,34,24847,1,10/29/2028 02:08 PM,shopping
Wseppzfugt,35,29902,-1,11/16/2023 02:18 PM,shopping
Bfigpzcaux,36,24237,1,11/05/2027 03:43 AM,salary
Vylzixcfjn,37,27930,-1,05/07/2021 05:49 AM,salary
Nnhewrgxnu,38,85130,-1,01/26/2020 07:58 PM,shopping
Qjyeyfkjfc,39,11407,1,03/12/2027 04:06 AM,salary
Sovbxchxfy,40,83348,1,10/23/2020 06:47 AM,salary
Liixpwtufp,41,60110,-1,04/15/2022 12:08 PM,shopping
Roiijlbydv,42,53069,-1,05/26/2029 12:56 PM,shopping
Lbeaqtbmep,43,85194,1,04/24/2026 07:03 PM,shopping
Lynxhxsyjw,44,32709,-1,03/09/2024 03:06 PM,shopping
Otbbvpdeaj,45,46510,-1,03/24/2028 09:41 AM,bill
Cnbtusfbqn,46,68041,1,10/03/2023 03:36 PM,bill
Zvsjdxamhk,47,12547,1,10/22/2027 03:27 AM,bill
Jpaymuvvco,48,28644,1,01/25/2026 12:03 PM,salary
Ociziakizh,49,1564,-1,07/21/2029 11:01 PM,shopping
Ewokfdwhnp,50,74002,1,12/01/2029 06:03 AM,salary
Arummldkeg,51,2959,1,03/28/2027 05:29 PM,salary
Zzdxzsabmk,52,20993,-1,02/02/2021 12:08 PM,bill
Ixerasrdvu,53,6533,-1,02/26/2028 09:37 PM,shopping
Kqqbwsjbko,54,454,1,12/02/2028 09:14 AM,bill
Otysuvdhdt,55,78589,1,02/14/2022 10:29 AM,shopping
Svhbmzpszy,56,81693,1,11/28/2026 03:51 AM,salary
Possrlfjsx,57,70219,1,03/11/2026 11:18 AM,salary
Cdeyascrxh,58,78044,1,06/08/2022 01:20 AM,salary
Eucluiovce,59,10986,1,11/16/2027 10:03 AM,salary
Awnvysrsyb,60,15553,1,09/01/2029 05:40 AM,shopping
Kzicbutmnm,61,69822,-1,06/07/2020 12:54 PM,shopping
Tkjfongtau,62,81529,1,03/31/2022 01:38 PM,bill
Sxclsyiovi,63,66233,1,05/25/2025 02:56 PM,shopping
Ffkliadgdr,64,2652,-1,01/07/2024 06:50 AM,salary
Qdgvkhxvus,65,47386,-1,09/13/2024 12:38 PM,salary
Hwwuwpzeip,66,55782,1,08/06/2027 01:10 PM,bill
Kzezvuaaeh,67,35005,1,07/27/2020 11:15 PM,salary
Lgxzbatifg,68,71863,1,02/08/2027 11:54 PM,shopping
Cpmtkwidra,69,3801,1,01/25/2027 09:05 PM,bill
Rfptedewfq,70,22301,-1,09/16/2027 12:05 AM,bill
Ntuazaqguk,71,72550,-1,12/03/2023 02:09 PM,salary
Dtonldlotl,72,93950,1,01/29/2027 12:59 PM,shopping
Mzowdzfikq,73,37730,1,10/11/2029 04:30 PM,shopping
Zsbnctafyh,74,52039,-1,02/08/2029 05:24 PM,bill
Vummdqpqcd,75,5585,-1,01/17/2026 07:22 PM,salary
Zpewlinniu,76,19954,-1,05/29/2026 10:15 PM,salary
Kozaajwdzz,77,89487,-1,11/26/2023 07:44 AM,salary
Xsbtafwqqv,78,24549,-1,07/24/2027 01:35 AM,salary
Rgdcdnmloi,79,16544,1,02/06/2025 11:46 PM,salary
Sbvroptxgh,80,87929,1,08/02/2028 10:59 AM,shopping
Fenlmvsztg,81,14598,1,07/20/2023 08:26 PM,bill
Erexvqdsxa,82,62225,-1,05/25/2025 08:11 PM,shopping
Wkloxcdjzl,83,46342,1,05/30/2020 03:14 AM,shopping
Gylossousm,84,99369,-1,06/28/2025 03:32 AM,shopping
Kgdshjwejn,85,15213,-1,07/03/2027 06:39 PM,bill
Rgfwapnyjx,86,84338,1,12/26/2027 06:32 AM,salary
Gcoeiuldwm,87,53928,-1,11/22/2027 02:03 AM,bill
Fcxmoikmma,88,97674,-1,07/24/2026 04:52 AM,salary
Wuhlzwhqcz,89,22089,1,08/01/2029 04:00 PM,shopping
Nowngohego,90,38559,-1,05/09/2023 07:57 AM,shopping
Qtjrbrmkni,91,18689,1,03/31/2025 12:48 AM,bill
Tyyrnxwpfk,92,10919,1,09/11/2025 08:14 AM,bill
Hdzchraoup,93,72632,1,01/17/2029 04:44 AM,bill
Xzdkfwvhxa,94,15239,1,01/04/2021 09:46 PM,shopping
Uqoxrorepk,95,57702,-1,03/24/2024 02:02 PM,shopping
Ycgngjlotr,96,86756,-1,12/31/2026 04:29 PM,shopping
Huqswzckwp,97,85441,-1,05/25/2028 07:26 AM,salary
Wvdyliescd,98,59392,1,07/21/2023 09:50 AM,salary
Otkvpwhfia,99,30976,-1,07/04/2022 01:27 PM,salary
Mbhaddskxt,100,31668,1,10/09/2023 12:27 PM,salary
Csecrmaaps,101,76995,1,08/15/2027 04:53 AM,salary
Xgaexaixbm,102,11490,-1,01/12/2024 07:31 PM,salary
Adrjzcarep,103,30679,1,02/26/2024 04:58 PM,salary
Pyahakblme,104,81228,1,02/20/2026 03:08 AM,salary
Tmkuykegbg,105,59306,-1,01/06/2029 11:21 AM,salary
Yepxkveqwa,106,56536,-1,07/30/2029 01:10 PM,bill
Caaxsoewhp,107,24316,-1,04/02/2029 06:15 PM,shopping
Avqzscbybh,108,94695,-1,09/13/2021 06:38 AM,salary
Dsdwtfmfrx,109,82368,-1,01/14/2023 08:10 PM,salary
Rahmcfeako,110,49039,-1,05/30/2020 12:23 AM,bill
Vwmceuifgj,111,67403,-1,04/04/2024 10:57 AM,bill
Kbsaeymrgg,112,97597,-1,02/19/2027 10:32 PM,salary
Zqhxrbajnc,113,34046,1,10/28/2020 10:27 AM,salary
Solzaxieax,114,8000,1,10/16/2023 04:37 PM,bill
Xeljrrukgw,115,19697,-1,09/27/2023 10:46 PM,salary
Cwesklkxsp,116,80432,1,09/25/2023 07:45 AM,salary
Apceaqbjet,117,27315,1,05/12/2024 02:25 PM,bill
Eevhbgibth,118,4942,-1,08/21/2025 09:13 PM,bill
Oyvgqjtzrn,119,6504,-1,03/12/2024 02:37 PM,bill
Lyazsuefgu,120,79261,-1,09/08/2029 11:46 PM,bill
Evadptbdpi,121,3077,-1,09/15/2025 04:46 AM,bill
Qsxuctvbyi,122,98148,1,09/03/2024 03:18 AM,shopping
Xyhzrdcuif,123,98917,1,05/25/2029 03:16 AM,bill
Pxuzekoldo,124,959,1,07/16/2028 01:41 AM,salary
Gklkhcdvhb,125,17568,-1,12/20/2021 10:07 AM,shopping
Cxksirlzjv,126,52019,-1,08/29/2023 08:47 AM,shopping
Okghgbicrg,127,14847,1,08/20/2029 10:36 PM,shopping
Jlqxnsqjti,128,20524,-1,12/21/2027 08:38 AM,bill
Lkogiaqiab,129,11764,1,04/28/2024 04:09 AM,shopping
Coyphudmyk,130,48088,-1,06/12/2020 10:07 PM,salary
Obllssmdws,131,59008,1,12/12/2023 11:17 PM,shopping
Fktykivwyd,132,50243,-1,03/24/2022 07:29 AM,salary
Hffszdlvsg,133,17196,1,06/18/2022 11:13 PM,salary
Bidicstjsk,134,6982,1,05/25/2022 07:47 AM,bill
Zgmagmkhbl,135,3351,1,02/06/2029 07:35 PM,shopping
Lwnlxxrrwc,136,20626,1,06/20/2027 10:25 AM,salary
Oznioufykx,137,9026,-1,06/28/2022 02:13 PM,bill
Xgdajsjxrr,138,5002,1,11/21/2023 08:16 PM,salary
Huwtzsbgye,139,90149,1,01/12/2024 01:36 PM,bill
Gzcugbjocs,140,58213,-1,12/07/2020 11:46 PM,shopping
Lsoowadacp,141,90740,-1,08/23/2023 01:27 AM,shopping
